area,adress,price,img_link
60000,"Rufisque, Sénégal",35000,https://images.coinafrique.com/thumb_5031888_uploaded_image1_1730991494.jpg
40000,"Rufisque, Sénégal",50000,https://images.coinafrique.com/thumb_5031801_uploaded_image1_1730987195.jpg
300,"Thies, Sénégal",25000000,https://images.coinafrique.com/thumb_5031780_uploaded_image1_1730986441.jpg
380,"Almadies, Dakar, Sénégal",320000000,https://images.coinafrique.com/thumb_5064101_uploaded_image1_1732707928.jpg
600,"Mbour, Sénégal",9500000,https://images.coinafrique.com/thumb_5032810_uploaded_image1_1731033081.jpg
300,"Mbour, Sénégal",4500000,https://images.coinafrique.com/thumb_5032802_uploaded_image1_1731032566.jpg
380,"Almadies, Dakar, Sénégal",320000000,https://images.coinafrique.com/thumb_5055749_uploaded_image1_1732232944.jpg
150 ,"Mamelles, Dakar, Sénégal",110000000,https://images.coinafrique.com/thumb_5064840_uploaded_image1_1732744964.jpg
200,"Thies, Sénégal",2950000,https://images.coinafrique.com/thumb_5028952_uploaded_image1_1730848677.jpg
150,"Parcelle Assainies, Dakar, Sénégal",65000000,https://images.coinafrique.com/thumb_5039963_uploaded_image1_1731416862.jpg
78000,"Thies, Sénégal",1000,https://images.coinafrique.com/thumb_5039928_uploaded_image1_1731415868.jpg
225,"Thies, Sénégal",500000,https://images.coinafrique.com/thumb_5039899_uploaded_image1_1731414820.jpg
150,"Almadies 2, Dakar, Sénégal",20000000,https://images.coinafrique.com/thumb_5063919_uploaded_image1_1732700680.jpg
150,"Keur Massar, Sénégal",30000000,https://images.coinafrique.com/thumb_5058971_uploaded_image1_1732435792.jpg
150 ,"Keur Massar, Sénégal",2600000,https://images.coinafrique.com/thumb_5062992_uploaded_image1_1732643629.jpg
150,"Dakar, Sénégal",12500000,https://images.coinafrique.com/thumb_5044105_uploaded_image1_1731601393.jpg
250,"Mbour, Sénégal",8000000,https://images.coinafrique.com/thumb_5062512_uploaded_image1_1732625309.jpg
150 ,"Dakar, Sénégal",4500000,https://images.coinafrique.com/thumb_5062401_uploaded_image1_1732621829.jpg
162,"Rufisque, Sénégal",9000000,https://images.coinafrique.com/thumb_5054692_uploaded_image1_1732188022.jpg
150,"Niaga, Sénégal",7500000,https://images.coinafrique.com/thumb_5062192_uploaded_image1_1732615837.jpg
397,"Point E, Dakar, Sénégal",1500000,https://images.coinafrique.com/thumb_5042511_uploaded_image1_1731525173.jpg
150,"Toubab Dialao, Sénégal",2500000,https://images.coinafrique.com/thumb_5051950_uploaded_image1_1732038959.jpg
