id_type,price,address,number_of_part,img_link
Location,1400000,"Mamelles, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5051722_uploaded_image1_1732028304.jpg
Vente,130000000,"Thies, Sénégal",5,https://images.coinafrique.com/thumb_5049818_uploaded_image1_1731937672.jpg
Vente,20000000,"Mbour, Sénégal",4,https://images.coinafrique.com/thumb_5031735_uploaded_image1_1730985443.jpg
Location,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5058145_uploaded_image1_1732368537.jpg
Vente,75000000,"Thies, Sénégal",12,https://images.coinafrique.com/thumb_5031730_uploaded_image1_1730985302.jpg
Vente,80000000,"Mbao, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5031708_uploaded_image1_1730984820.jpg
Location,800000,"Sicap foire, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5065840_uploaded_image1_1732800936.jpg
Vente,55000000,"Mbour, Sénégal",5,https://images.coinafrique.com/thumb_5031687_uploaded_image1_1730984280.jpg
Vente,95000000,"Mbao, Dakar, Sénégal",2,https://images.coinafrique.com/thumb_5031661_uploaded_image1_1730983828.jpg
Vente,29000000,"Keur Massar, Sénégal",8,https://images.coinafrique.com/thumb_5031617_uploaded_image1_1730982429.jpg
Location,1000000,"Yoff, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5033490_uploaded_image1_1731064700.jpg
Vente,65000000,"Mbour, Sénégal",8,https://images.coinafrique.com/thumb_5031586_uploaded_image1_1730981464.jpg
Location,1800000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5054744_uploaded_image1_1732190942.jpg
Vente,80000000,"Thies, Sénégal",5,https://images.coinafrique.com/thumb_5031551_uploaded_image1_1730980806.jpg
Vente,125000000,"Sicap Liberté, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_5052926_uploaded_image1_1732099432.jpg
Location,3500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5062288_uploaded_image1_1732617930.jpg
Location,5000000,"Sicap Liberté, Dakar, Sénégal",12,https://images.coinafrique.com/thumb_5065556_uploaded_image1_1732790848.jpg
Vente,950000000,"Mbour, Sénégal",10,https://images.coinafrique.com/thumb_5041519_uploaded_image1_1731493108.jpg
Vente,59500000,"Thies, Sénégal",7,https://images.coinafrique.com/thumb_5046468_uploaded_image1_1731715856.jpg
Location,3500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5061690_uploaded_image1_1732580294.jpg
Vente,349622698,"Thies, Sénégal",4,https://images.coinafrique.com/thumb_5052373_uploaded_image1_1732056932.jpg
