web-scraper-order,web-scraper-start-url,terrains_links,terrains_links-href,area,price,address,images_links
1732750806-1,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains  32 lots -  Bambilor,https://sn.coinafrique.com/annonce/terrains/terrains-32-lots-bambilor-2598200,150 m2,2 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2598200_uploaded_image1_1599148192.jpg""); width: 400px;"
1732750809-2,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains   -Niakhirate,https://sn.coinafrique.com/annonce/terrains/terrains-niakhirate-2598415,150,9 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2598415_uploaded_image1_1599152357.jpg""); width: 467px;"
1732750812-3,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains - Niacoulrab,https://sn.coinafrique.com/annonce/terrains/vente-terrains-niacoulrab-2598895,150 m2,25 000 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2598895_uploaded_image1_1599166607.jpg""); width: 434px;"
1732750817-4,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 225m²  - Almadies 2 Rufisque,https://sn.coinafrique.com/annonce/terrains/vente-terrains-225m-almadies-2-rufisque-2598964,225,38 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2598964_uploaded_image1_1599168578.jpg""); width: 412px;"
1732750823-5,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 341 m2 - Virage,https://sn.coinafrique.com/annonce/terrains/terrain-341-m2-virage-2599377,341 m2,220 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2599377_uploaded_image1_1599181616.jpg""); width: 666px;"
1732750828-6,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 160 m2 - Diamniadio,https://sn.coinafrique.com/annonce/terrains/terrain-160-m2-diamniadio-2599385,160 m2,32 000 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2599385_uploaded_image1_1599182361.jpg""); width: 671px;"
1732750833-7,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain - Touba,https://sn.coinafrique.com/annonce/terrains/vente-terrain-touba-2599551,500 m2,1 100 000 CFA,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/2599551_uploaded_image1_1599202606.jpg""); width: 488px;"
1732750838-8,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain - Lac Rose,https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-2600114,150 m2,3 500 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2600114_uploaded_image1_1599218548.jpg""); width: 642px;"
1732750842-9,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 150 m2 - Sebikotane,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-sebikotane-2601036,600 m2,5 500 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2601036_uploaded_image1_1599241177.jpg""); width: 623px;"
1732750847-10,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 11000 m² - Warang,https://sn.coinafrique.com/annonce/terrains/vente-terrain-11000-m-warang-2601585,11000 m2,290 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2601585_uploaded_image1_1599256819.jpg""); width: 369px;"
1732750851-11,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 10000m²  - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrain-10000m-mbour-2602732,10000,14 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602732_uploaded_image1_1599307608.jpg""); width: 453px;"
1732750855-12,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 300m²  - Mbodiene,https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-mbodiene-2602757,300,9 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602757_uploaded_image1_1599308251.jpg""); width: 453px;"
1732750858-13,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 600 m² - Mbodiene,https://sn.coinafrique.com/annonce/terrains/vente-terrain-600-m-mbodiene-2602785,600,16 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602785_uploaded_image1_1599308810.jpg""); width: 453px;"
1732750862-14,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain 300m²  - Saly Diambar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300m-saly-diambar-2602873,300,8 000 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2602873_uploaded_image1_1599311275.jpg""); width: 453px;"
1732750867-15,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 300 m² - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-mbour-2602924,300,41 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602924_uploaded_image1_1599312022.jpg""); width: 453px;"
1732750873-16,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains - Almadies,https://sn.coinafrique.com/annonce/terrains/vente-terrains-almadies-2602996,793 m2,1 600 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2602996_uploaded_image1_1599314466.jpg""); width: 550px;"
1732750879-17,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 89 ha -  Noflaye,https://sn.coinafrique.com/annonce/terrains/vente-terrain-89-ha-noflaye-2603227,890000 m2,13 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2603227_uploaded_image1_1599319620.jpg""); width: 671px;"
1732750883-18,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 225m² - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrains-225m-diass-2603315,225 m2,1 000 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2603315_uploaded_image1_1599322528.jpg""); width: 405px;"
1732750888-19,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain - Dakar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-dakar-2603988,3446 m2,2 000 000 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2603988_uploaded_image1_1599345517.jpg""); width: 407px;"
1732750893-20,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain 2000m² - Ngor,https://sn.coinafrique.com/annonce/terrains/vente-terrain-2000m-ngor-2604144,2000 m2,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2604144_uploaded_image1_1599353630.jpg""); width: 548px;"
1732750897-21,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 225 m² - Thies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-225-m-thies-2605004,225,350 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2605004_uploaded_image2_1599400649.jpeg""); width: 451px;"
1732750901-22,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain - Dra Thioubou estaction,https://sn.coinafrique.com/annonce/terrains/vente-terrain-dra-thioubou-estaction-2605742,,4 000 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2605742_uploaded_image1_1599423871.jpg""); width: 566px;"
1732750905-23,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain 265m² - Almadies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-265m-almadies-2606032,265,95 000 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606032_uploaded_image1_1599433523.jpg""); width: 416px;"
1732750910-24,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 4 hectares - Dakar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-4-hectares-dakar-2606058,40000 m2,250 000 CFA,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606058_uploaded_image1_1599434458.jpg""); width: 550px;"
1732750914-25,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Lac Rose,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-lac-rose-2606122,150,1 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606122_uploaded_image1_1599438661.jpg""); width: 483px;"
1732750918-26,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains - Thiès,https://sn.coinafrique.com/annonce/terrains/terrains-thies-2607323,225 m2,Prix sur demande,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2607323_uploaded_image1_1599482756.jpg""); width: 396px;"
1732750923-27,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 225 m2 - Diass,https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-diass-2607378,225,1 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2607378_uploaded_image1_1599484724.jpg""); width: 398px;"
1732750928-28,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain  - Keur massar,https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2607643,150 m2,8 000 000 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/2607643_uploaded_image1_1599490931.jpg""); width: 455px;"
